Assembly,Village,Location_Type,Panchayat
CHILAKALURIPET,SATHULURU,V,Satuluru
CHILAKALURIPET,KANUPARRU,V,Kanaparru
CHILAKALURIPET,IRLAPADU,V,Irlapadu
CHILAKALURIPET,APPAPURAM,V,Appapuram
CHILAKALURIPET,AMMENSAHEBPALEM,V,Ameensahebpalem
CHILAKALURIPET,GANAPAVARAM,V,Ganapavaram
CHILAKALURIPET,ENDUGUMPALEM,V,Endugumpalem
CHILAKALURIPET,NADENDLA,V,Nadendla
CHILAKALURIPET,THUBADU,V,Tubadu
CHILAKALURIPET,CHANDAVARAM,V,Chandavaram
CHILAKALURIPET,BUKKAPURAM,V,Bukkapuram
CHILAKALURIPET,GORIJAVOLU,V,Gorijavolu
CHILAKALURIPET,SANKURATRIPADU,V,Sankuratripadu
CHILAKALURIPET,JANGALAPALLI,V,Jangalapalli
CHILAKALURIPET,CHIRUMAMILLA,V,Chirumamilla
CHILAKALURIPET,KOTTAPALEM,V,Kothapalem
CHILAKALURIPET,KONDAVEEDU,V,Kothapalem
CHILAKALURIPET,KOTA,V,Kota
CHILAKALURIPET,CHANGISKHANPET,V,Chengilkhanpet
CHILAKALURIPET,SOLASA,V,Solasa
CHILAKALURIPET,LINGARAOPALEM,V,Lingaraopalem
CHILAKALURIPET,MYDAVOLU,V,Mydavolu
CHILAKALURIPET,VANKAYALAPADU,V,Vankayalapadu
CHILAKALURIPET,UNNAVA,V,Unnava
CHILAKALURIPET,EDLAPADU,V,Edlapadu
CHILAKALURIPET,DINTENAPADU,V,Dintenapadu
CHILAKALURIPET,THIMMAPURAM,V,Thimmapuram
CHILAKALURIPET,JAGGAPURAM,V,Jaggapuram
CHILAKALURIPET,JALADI,V,Jaladi
CHILAKALURIPET,KARUCHOLA,V,Karuchola
CHILAKALURIPET,GUTTAVARIPALEM,V,Guttavaripalem
CHILAKALURIPET,THURLAPADU,V,Turlapadu
CHILAKALURIPET,SANDEPUDI,V,Sandepudi
CHILAKALURIPET,KUKKAPALLIVARIPALEM,V,Kukkapallivaripalem
CHILAKALURIPET,VELURU,V,Velluru
CHILAKALURIPET,MANUKONDAVARIPALEM,V,Dandamudi
CHILAKALURIPET,DANDAMUDI,V,Dandamudi
CHILAKALURIPET,GOTTIPADU,V,Gottipadu
CHILAKALURIPET,PASUMARRU,V,Pasumarru
CHILAKALURIPET,Chilakaluripet HO Purushotha Patnam TOWN,T,Yadavalli
CHILAKALURIPET,LINGAMGUNTLA,V,Podapadu
CHILAKALURIPET,KAVURU,V,Lingamguntla
CHILAKALURIPET,GANGANNAPALEM,V,Gangannapalem
CHILAKALURIPET,GOVINDAPURAM,V,Komatinenivaripalem
CHILAKALURIPET,KAMMARIPALEM,V,Kammavaripalem
CHILAKALURIPET,KATTUBADIVARIPALEM,V,Kattubadivaripalem
CHILAKALURIPET,EDAVALLI,V,Yadavalli
CHILAKALURIPET,MADDIRALA,V,Maddirala
CHILAKALURIPET,POTHAVARAM,V,Pothavaram
CHILAKALURIPET,BOPPUDI,V,Boppudi
CHILAKALURIPET,RAJAPETA,V,Rajapet
CHILAKALURIPET,GOPALAMVARIPALEM,V,Gopalamvaripalem
CHILAKALURIPET,MURIKIPUDI,V,Ramachandrapuram
CHILAKALURIPET,RAMACHANDRAPURAM,V,Ramachandrapuram
CHILAKALURIPET,THATAPUDI,V,Tatapudi
NARASARAOPET,EDVERDPETA,V,Edwardpeta
NARASARAOPET,KOTHAPALLI,V,Kothapalli
NARASARAOPET,REDDYPALEM,V,Reddypalem
NARASARAOPET,VIPPARLA,V,Vreddypalem
NARASARAOPET,MACHAVARAM,V,Paragaticherla
NARASARAOPET,NALLAGARLAPADU,V,Nalagarlapadu
NARASARAOPET,PARAGATICHERLA,V,Paragaticherla
NARASARAOPET,SANTHAGUDIPADU,V,Santhagudipadu
NARASARAOPET,KARLAKUNTA,V,Karlakunta
NARASARAOPET,AREPALLIAGRAHARAM,V,Arepalli
NARASARAOPET,BATCHIBAPANAPALEM,V,Butchipapannapalem
NARASARAOPET,RAMIREDDYPALEM,V,Reddypalem
NARASARAOPET,ROMPICHERLA,V,Vadlamudivaripalem
NARASARAOPET,KONAKANCHEVARIPALEM,V,Konakanchivaripalem
NARASARAOPET,GOGULAPADU,V,Gogulapadu
NARASARAOPET,ALAVALA,V,Atchayapalem
NARASARAOPET,ATCHAIAHPALEM,V,Butchaiahpalem
NARASARAOPET,SUBBAIAHPALEM,V,Subbaiahpalem
NARASARAOPET,THURUMELLA,V,Veeravatnam
NARASARAOPET,ANNAVARAPPADU,V,Annavarappadu
NARASARAOPET,VEERAVATNAM,V,Veeravatnam
NARASARAOPET,MUTHANAPALLI,V,Muthanapalli
NARASARAOPET,MUNUMAKA,V,Munumaka
NARASARAOPET,VIPARLAPALLI,V,Vipparlapalli
NARASARAOPET,VADLAMUDIVARIPALEM,V,Vadlamudivaripalem
NARASARAOPET,TUNGAPADU,V,Tungapadu
NARASARAOPET,ANNAVARAM,V,Tungapadu
NARASARAOPET,PAMIDIPADU,V,Pamidipadu
NARASARAOPET,RAVIPADU,V,Ravipadu
NARASARAOPET,Narasaraopet TOWN,T,
NARASARAOPET,MULAKALUR,V,Mulakaluru
NARASARAOPET,K.M.AGRAHARAM,V,K.M.Agraharam
NARASARAOPET,ISAPPALEM,V,Issapalem
NARASARAOPET,DONDAPADU,V,Dondapadu
NARASARAOPET,JONNALAGADDA,V,Jonnalagadda
NARASARAOPET,KESANAPALLI,V,Kesanapalli
NARASARAOPET,KOTHAPALEM,V,Kothapalem
NARASARAOPET,LINGAMGUNTLA,V,Podapadu
NARASARAOPET,IKKURRU,V,Ikkurru
NARASARAOPET,ALLURUVARIPALEM,V,Allurivaripalem
NARASARAOPET,PALAPADU,V,Palapadu
NARASARAOPET,KAKANI,V,Kakani
NARASARAOPET,ARAVAPALLI,V,Aravapalli
NARASARAOPET,UPPALAPADU,V,Uppalapadu
NARASARAOPET,PETLURIVARIPALEM,V,Petlurivaripalem
NARASARAOPET,KONDAKAVURU,V,Pamidimarru
NARASARAOPET,PAMIDIMARRU,V,Pamidimarru
NARASARAOPET,ELLAMANDA,V,Pedaturakapalem
NARASARAOPET,CHINATURAKAPALEM,V,Chinaturakapalem
NARASARAOPET,GURAYAPALEM,V,Guravayapalem
NARASARAOPET,GONEPUDI,V,Gonepudi
NARASARAOPET,CHINTALAPALEM,V,Chintalapalem
NARASARAOPET,PEDATURAKAPALEM,V,Pedaturakapalem
SATTENAPALLI,KATTAVARIPALEM,V,Kattavaripalem
SATTENAPALLI,KANTEPUDI,V,Kattavaripalem
SATTENAPALLI,KOMERAPUDI,V,Komerapudi
SATTENAPALLI,NANDIGAMA,V,Nandigama
SATTENAPALLI,GUDIPUDI,V,Lakshmipuram
SATTENAPALLI,LAKSHMIPURAM,V,Lakshmipuram
SATTENAPALLI,PEDAMAKKENA,V,Pedamakkena
SATTENAPALLI,GARNEPUDI,V,Garnepudi
SATTENAPALLI,LAKKARAJU GARLAPADU,V,Lakkarajugarlapadu
SATTENAPALLI,Sattenapalle TOWN,T,
SATTENAPALLI,GANDLURU,V,Gandluru
SATTENAPALLI,BHIMAVARAM,V,Gandluru
SATTENAPALLI,ABBUR,V,Abburu
SATTENAPALLI,DEEPALADINNEPALEM,V,Deepaladinnepalem
SATTENAPALLI,PANIDEM,V,Phanidam
SATTENAPALLI,GUJJARLAPUDI,V,Gujjarlapudi
SATTENAPALLI,BHATLUR,V,Gujjarlapudi
SATTENAPALLI,KATTAMURU,V,Kattamuru
SATTENAPALLI,GORANTLA,V,Gorantla
SATTENAPALLI,RENTAPALLA,V,Rentapalla
SATTENAPALLI,GOGULAPADU,V,Gogulapadu
SATTENAPALLI,PAKALAPADU,V,Pakalapadu
SATTENAPALLI,KANKANALAPALLI,V,Kankanalapalli
SATTENAPALLI,KANDULAVARIPALEM,V,Kandulavaripalem
SATTENAPALLI,BHRUGUBANDA,V,Kandulavaripalem
SATTENAPALLI,DHULIPALLA,V,Dhulipalla
SATTENAPALLI,REDDYGUDEM,V,Reddigudem
SATTENAPALLI,MOKKAPADU,V,Mokkapadu
SATTENAPALLI,BRAHMANAPALLI,V,Brahmanapalli
SATTENAPALLI,RAJUPALEM,V,Rajupalem
SATTENAPALLI,KOTHA BODANAM,V,Kotha Bodhanam (Rr Centre)
SATTENAPALLI,CHOWTAPAYAPALEM,V,Kotha Bodhanam (Rr Centre)
SATTENAPALLI,ANUPALEM,V,Peesapadu
SATTENAPALLI,ANCHULAVARIPALEM,V,Anchulavaripalem
SATTENAPALLI,KOTA NEMALIPURI,V,Kotanemalipuri
SATTENAPALLI,KONDAMODU,V,Kondamodu
SATTENAPALLI,DEVARAMPADU,V,Devarampadu
SATTENAPALLI,NEMALIPURI,V,Nemalipuri
SATTENAPALLI,GANAPAVARAM,V,Ganapavaram
SATTENAPALLI,BEERAVALLIPAYA,V,Beeravallipaya
SATTENAPALLI,KOTHAPALEM,V,Kothapalem
SATTENAPALLI,BALIJEPALLI,V,Balijepalli
SATTENAPALLI,UPPALAPADU,V,Uppalapadu
SATTENAPALLI,INUMETLA,V,Inumetla
SATTENAPALLI,TRIPURA PURAM,V,P.Tripurapuram
SATTENAPALLI,GUNDLAPALLI,V,Gundlapalli
SATTENAPALLI,BALAJINAGAR THANDA,V,Balaji Nagar Thanda
SATTENAPALLI,NARASINGAPADU,V,Narasingapadu
SATTENAPALLI,NEKARIKALLU,V,Sivapuram Thanda
SATTENAPALLI,SIVAPURAM THANDA,V,Sivapuram Thanda
SATTENAPALLI,CHALLAGUNDLA,V,Challagundla
SATTENAPALLI,ADDA ROAD,V,Adda Road
SATTENAPALLI,CHIMALA MARRI,V,Cheemalamarri
SATTENAPALLI,CHAGALLU,V,Kandlagunta
SATTENAPALLI,KANDLAKUNTA,V,Kothapullareddypuram
SATTENAPALLI,DECHAVARAM,V,Dechavaram
SATTENAPALLI,RUPENAGUNTLA,V,Turakapalem
SATTENAPALLI,THURAKAPALEM,V,Turakapalem
SATTENAPALLI,KUNKALAGUNTA,V,Zillapeta Thanda
SATTENAPALLI,ZILLAPETA THANDA,V,Zillapeta Thanda
SATTENAPALLI,CHEJERLA,V,Chejerla
SATTENAPALLI,KUNDURUVARIPALEM,V,Kunduruvaripalem
SATTENAPALLI,GOLLAPADU,V,Kunduruvaripalem
SATTENAPALLI,LANKELA KURAPADU,V,L. Kurapadu
SATTENAPALLI,NARENPADU,V,Narnepadu
SATTENAPALLI,PALIDEVARLAPADU,V,Paludevarlapadu
SATTENAPALLI,CHAGANTIVARIPALEM,V,Chagantivaripalem
SATTENAPALLI,MUPPALLA,V,Muppalla
SATTENAPALLI,DAMMALAPADU,V,Turakapalem
SATTENAPALLI,BOLLAVRAM,V,Bollavaram
SATTENAPALLI,IRUKUPALEM,V,Irukumpalem
SATTENAPALLI,MADALA,V,Madala
SATTENAPALLI,RUDRAVARAM,V,Rudravaram
SATTENAPALLI,THONDAPI,V,Thondapi
VINUKONDA,AYYANNAPALEM,V,Mekaladinne Thanda
VINUKONDA,MEKALA DINNE,V,
VINUKONDA,MARRIPALEM,V,Unnava
VINUKONDA,HANUMAPURAM,V,Hanumapuram
VINUKONDA,CHAKRAYAPALEM,V,Chakrayapalem
VINUKONDA,MELLAVAGU,V,Reddypalem
VINUKONDA,REDDIPALEM,V,Reddypalem
VINUKONDA,LALIPURAM,V,Lalipuram
VINUKONDA,JAYANTHI RAMA PURAM,V,Jayanthiramapuram
VINUKONDA,GARIKAPADU,V,Garikapadu
VINUKONDA,PAMIDIPADU,V,Pamidipadu
VINUKONDA,GUMMANAMPADU,V,Gummanampadu
VINUKONDA,REMIDICHERLA,V,Remidicherla
VINUKONDA,RAVULAPURAM,V,Ravulapuram
VINUKONDA,MANNEPALLI THANDA,V,Mannepallipadu Thanda
VINUKONDA,GANDI GANUMALA,V,Gandiganama
VINUKONDA,DOMALAGUNDAM,V,Domalagundam
VINUKONDA,GUTLAPALLI,V,Gutlapalli
VINUKONDA,GANGUPALLI THANDA,V,Gangupalli Thanda
VINUKONDA,PALUKURU,V,Palukuru
VINUKONDA,PALUKURU THANDA,V,Palukuru Thanda
VINUKONDA,GHATI THANDA,V,Ghati Thanda
VINUKONDA,KANUMALA CHERUVU,V,Nehrunagar Thanda
VINUKONDA,NEHRUNAGAR THANDA,V,Nehrunagar Thanda
VINUKONDA,PERURUPADU,V,Perurupadu
VINUKONDA,VELLATURU,V,Vellaturu
VINUKONDA,SEETHARAMPURAM THANDA,V,
VINUKONDA,NAIDU PALEM,V,Naidupalem
VINUKONDA,BOLLAPALLI,V,Bollapalli
VINUKONDA,MUGACHINTALA PALEM,V,Mugachintalapalem
VINUKONDA,VADDEMGUNTA,V,Veddemgunta
VINUKONDA,SARIKONDA PALEM,V,Sarikondapalem
VINUKONDA,BOMMARAJUPALLI,V,Bommarajupalli
VINUKONDA,BHADRUPALEM,V,Bhadrupalem
VINUKONDA,INUMELLA,V,Inumella
VINUKONDA,MUPPALLA,V,Muppalla
VINUKONDA,CHITTAPURAM,V,Gopuvaripalem
VINUKONDA,GOPUVARIPALEM,V,Gopuvaripalem
VINUKONDA,BOGGARAM,V,Boggaram
VINUKONDA,KONDAYAPALEM,V,Kondayapalem
VINUKONDA,GUNDEPALLI,V,Gundepalli
VINUKONDA,ANGALUR,V,Angaluru
VINUKONDA,VANIKUNTA,V,Vanikunta
VINUKONDA,IPUR,V,Ipur
VINUKONDA,UDIZERLA,V,Udicherla
VINUKONDA,AGNIGUNDALA,V,Udicherla
VINUKONDA,UPPARAPALEM,V,Upparapalem
VINUKONDA,KOTCHIRLA,V,Upparapalem
VINUKONDA,KONDRAMUTLA,V,Kondramutla
VINUKONDA,BODEPUDI VARI PALEM,V,Bodipudivaripalem
VINUKONDA,VELPURU,V,Velpur
VINUKONDA,IRLAPADU,V,Irlapadu
VINUKONDA,POTLURU,V,Potluru
VINUKONDA,KOTHALUR,V,Kothaluru
VINUKONDA,SAVALYAPURAM,V,Savalyapuram
VINUKONDA,KANUMARLAPUDI,V,Savalyapuram
VINUKONDA,PITCHIKALAPALEM,V,Pitchikalapalem
VINUKONDA,CHINAKANCHERLA,V,Chinakancherla
VINUKONDA,MUNDRU VARIPALEM,V,Mundruvaripalem
VINUKONDA,SANAMPUDI,V,Sanampudi
VINUKONDA,BONDILAVARI PALEM,V,Bondilipalem
VINUKONDA,MATHUKU MALLI,V,Mathukumalli
VINUKONDA,KARUMANCHI,V,Vayakallu
VINUKONDA,VAYYAKALLU,V,Vayakallu
VINUKONDA,GUNTUPALEM,V,Guntupalem
VINUKONDA,VENKUPALEM,V,Venkupalem
VINUKONDA,NARAGAYAPALEM,V,Naragayapalem
VINUKONDA,JALALAPALEM,V,Jalalpalem
VINUKONDA,BRAHMANAPALLI,V,Brahmanapalli
VINUKONDA,VITTAMRAJUPALLI,V,Vittamrajupalli
VINUKONDA,THIMMAYAPALEM,V,Upparapalem
VINUKONDA,DONDAPADU,V,Dondapadu
VINUKONDA,BHARATHAPURAM,V,Bharatapuram
VINUKONDA,NADIGADDA,V,Nadigadda
VINUKONDA,KOPPUKONDA,V,Nadigadda
VINUKONDA,KOPPUKONDA THANDA,V,Koppukonda Thanda
VINUKONDA,NEELA GANGAVARAM,V,Neelagangavaram
VINUKONDA,ANDUGULAPADU,V,Andugulapadu
VINUKONDA,SIVAPURAM,V,Sivapuram
VINUKONDA,CHIKATEEGALAPALEM,V,Cheekateegalapalem
VINUKONDA,CHATRAGADDAPADU,V,Chatragaddapadu
VINUKONDA,Vinukonda TOWN,T,Chatragaddapadu
VINUKONDA,HASSANAIDUPALEM,V,Hassanayenipalem
VINUKONDA,PEDAKANCHERLA,V,Pedakancherla
VINUKONDA,GONUGUNTLA VARIPALEM,V,Gonuguntlavaripalem
VINUKONDA,PERUMALLAPALLI,V,Perumallapalli
VINUKONDA,ENUGUPALEM,V,Pittambanda
VINUKONDA,PITTAMBANDA,V,Pittambanda
VINUKONDA,UMMADIVARAM,V,Ummadivaram
VINUKONDA,NAGULAVARAM,V,Nagulavaram
VINUKONDA,GOKANAKONDA,V,Gokanakonda
VINUKONDA,MURTUNJAYAPURAM,V,
VINUKONDA,LINGAMUKKA PALLI,V,Lingamukkapalli
VINUKONDA,PATHA NAGIREDDY PALLI,V,Pathanagireddy Palli
VINUKONDA,CHINTALA CHERUVU,V,Pathanagireddy Palli
VINUKONDA,MUKKELLAPADU,V,Pathazaddavaripalem
VINUKONDA,PEDDAVARAM,V,Peddavaram
VINUKONDA,INAVOLU,V,P.Cherukum Palem
VINUKONDA,PATHACHERUVUKOMMUPALEM,V,
VINUKONDA,KOTHAZADDAVARIPALEM,V,Pathazaddavaripalem
VINUKONDA,PATHA ZADDAVARIPALEM,V,Pathazaddavaripalem
VINUKONDA,JANGALAPALLI,V,Jangalapalli
VINUKONDA,UPPALAPADU,V,Uppalapadu
VINUKONDA,TRIPURAPURAM,V,P.Tripurapuram
VINUKONDA,TALARLAPALLI,V,Talarlapalli
VINUKONDA,MULAKALUR,V,Mulakaluru
VINUKONDA,PUVVADA,V,Puvvada
VINUKONDA,MARELLAVARI PALEM,V,Marellavaripalem
VINUKONDA,TELLABADU,V,Tellabadu
VINUKONDA,KHAMBHAMPADU,V,Khambampadu
VINUKONDA,MUTHARASI PALEM,V,Mutharasuvaripalem
VINUKONDA,GURRAPANAIDUPALEM,V,Gurrappanaidupalem
VINUKONDA,V.APPAPURAM,V,V.Appapuram
VINUKONDA,NUZENDLA,V,Nuzendla
VINUKONDA,PUTCHANUTALA,V,Putchanuthala
VINUKONDA,THIMMAPURAM,V,Thimmapuram
VINUKONDA,RAMUDIPALEM THANDA,V,Gangupalli Thanda
VINUKONDA,MUPPARAJU VARIPALEM,V,Mupparajuvari Palem
GURZALA,GOTTIMUKKALA,V,Gottimukkala
GURZALA,TELUKUTLA,V,Telukutla
GURZALA,DAIDA,V,Daida
GURZALA,PULIPADU,V,Pulipadu
GURZALA,GANGAVARAM,V,Kothaambapuram
GURZALA,Gurazala TOWN,T,
GURZALA,CHERLAGUDIPADU,V,Cheralagudipadu
GURZALA,MADUGULA,V,Madugula
GURZALA,PALLEGUNTA,V,Palligunta
GURZALA,KOTHA AMBAPURAM,V,Kothaambapuram
GURZALA,AMBAPURAM,V,Ambapuram
GURZALA,GOGULAPADU,V,Gogulapadu
GURZALA,BUDAWADA,V,Bodawada
GURZALA,PEDAGARLAPADU,V,Pedagarlapadu
GURZALA,KESANAPALLI,V,Kesanapalli
GURZALA,TAKKELLAPADU,V,Takkellapadu
GURZALA,Dachepalle TOWN,T,
GURZALA,GAMALAPADU,V,Gamalapadu
GURZALA,PONDUGALA,V,Malladi
GURZALA,RAMAPURAM,V,Ramapuram
GURZALA,SRINAGAR,V,Srinagar
GURZALA,BHATRUPALAM,V,Katrapadu
GURZALA,KATRAPADU,V,Katrapadu
GURZALA,KOTTURU,V,Kothuru
GURZALA,SARANGAPALLI,V,Sarangapalli
GURZALA,MADINAPADU,V,Sarangapalli
GURZALA,MUTYALAMPADU,V,Khambhampadu
GURZALA,TANGEDA,V,Tangeda
GURZALA,REGULAGADDA,V,Regulagadda
GURZALA,CHENNAYAPALEM,V,Chennayapalem
GURZALA,VEMAVARAM,V,Vemavaram
GURZALA,PINNELLI,V,Pinnelli
GURZALA,GANGIREDDIPALEM,V,Gangireddipalem
GURZALA,MACHAVARAM,V,Paragaticherla
GURZALA,TURAKAPALEM,V,Turakapalem
GURZALA,KOTHAPALEM,V,Kothapalem
GURZALA,GOVINDAPURAM,V,Komatinenivaripalem
GURZALA,MORJAMPADU,V,Morjampadu
GURZALA,MALLAVOLU,V,Mallavolu
GURZALA,PILLUTLA,V,Singarayapalem Thanda
GURZALA,SINGARAYAPALEM THANDA,V,Singarayapalem Thanda
GURZALA,SRIRUKMINIPURAM,V,Srirukminipuram
GURZALA,NAGESWARAPURAM THANDA,V,Nageswarapuram Thanda
GURZALA,KOTHAAGAANESHUNIPADU,V,Kothaganesunipadu
GURZALA,KONANKI,V,Pathaganesunipadu
GURZALA,PATHAGANESWARAPADU,V,Pathaganesunipadu
GURZALA,BRAHMANAPALLI,V,Brahmanapalli
GURZALA,KAMEPALLI,V,Kamepalli
GURZALA,VEERAPURAM,V,Veerapuram
GURZALA,THUMMALACHERUVU,V,Veerapuram
GURZALA,KARALAPADU,V,Kotha Vellampalli
GURZALA,AYYAPPANAGAR,V,Ayyappa Nagar
GURZALA,NEW VELLAMPALLI,V,
GURZALA,PEDAAGRAHARAM,V,Peda Agraharam
GURZALA,CHINAAGRAHARAM,V,China Agraharam
GURZALA,PANDHITIVARIPALEM,V,Panditivaripalem
GURZALA,JULLAKALLU,V,Panditivaripalem
GURZALA,GUTHIKONDA,V,Panditivaripalem
GURZALA,JANAPADU,V,Janapadu
GURZALA,Piduguralla TOWN,T,
MACHERLA,NAGULAVARAM,V,Nagulavaram
MACHERLA,PASUVEMULA,V,Pasuvemula
MACHERLA,KOTHURU,V,Kothuru
MACHERLA,ECONAMPET,V,Ekonampeta
MACHERLA,THALLAPALLI,V,Thallapalli
MACHERLA,A.J.MEDAKA,V,
MACHERLA,BYRAVUNIPADU,V,Bhyravunipadu
MACHERLA,KOTHAPALLI,V,Kothapalli
MACHERLA,KOPPUNURU,V,Koppunuru
MACHERLA,LATCHAMMABHAVI,V,Latchammabavi
MACHERLA,CHINTALA THANDA,V,Chinthalathanda
MACHERLA,KAMBHAMPADU,V,Khambampadu
MACHERLA,GANNAVARAM,V,Gannavaram
MACHERLA,RAYAVARAM,V,Rayavaram
MACHERLA,LIN GAPURAM,V,Lingapuram
MACHERLA,Macherla TOWN,T,Lingapuram
MACHERLA,RACHAMALLIPADU,V,Srirampuramthanda
MACHERLA,SREERAMAPURAMTHANDA,V,Srirampuramthanda
MACHERLA,MANDADI,V,Mandadi
MACHERLA,BODILAVEEDU,V,Bodilaveedu
MACHERLA,GUNDLAPADU,V,Gundlapadu
MACHERLA,KANDLAKUNTA,V,Kothapullareddypuram
MACHERLA,KOTHAPULLAREDDIGUDEM,V,
MACHERLA,GOTHIPALLA,V,Ramachandrapuram Thanda
MACHERLA,GANGALAKUNTA,V,Gangalakunta
MACHERLA,SRIGIRIPADU,V,Vajralapadu
MACHERLA,LOYAPALLI,V,Loyapalli
MACHERLA,VAJRALAPADU,V,Vajralapadu
MACHERLA,MITTAMEEDAPALLI,V,Mittameedapalli
MACHERLA,VELDURTHY,V,Veldurthy
MACHERLA,UPPALAPADU,V,Uppalapadu
MACHERLA,PATLAVEEDU,V,Patlaveedu
MACHERLA,SYAMARAJUPURAM,V,Syamarajupuram
MACHERLA,DHARMAVARAM,V,Dharmavaram
MACHERLA,ADIGOPPULA,V,Adigoppula
MACHERLA,OBULESUNIPALLI,V,Obulesunipalli
MACHERLA,DURGI,V,Jm Padu
MACHERLA,JANGAMAHESWARAPADU,V,
MACHERLA,KAKIRALA,V,Kakirala
MACHERLA,KOLAGUTLA,V,Kolagutla
MACHERLA,KANCHARAGUNTA,V,Kancharagunta
MACHERLA,MUTUKURU,V,Nehrunagar Thanda
MACHERLA,TERALA,V,Terala
MACHERLA,POLEPALLI,V,Terala
MACHERLA,ATMAKURU,V,Atmakur
MACHERLA,PALUVOI,V,Palavai Gate
MACHERLA,PALVVOI RAILWAY GATE,V,
MACHERLA,THUMRUKOTA,V,Tumrukota
MACHERLA,PASARLAPADU,V,Pasarlapadu
MACHERLA,MALLAVARAM,V,Mallavaram
MACHERLA,JETHIPALAM,V,
MACHERLA,GOLI,V,Jettipalem
MACHERLA,MITTAGUDIPADU,V,Mittagudipadu
MACHERLA,RENTACHINTALA,V,Rentachintala
MACHERLA,RENTALA,V,Rentala
MACHERLA,MANCHIKALLU,V,Manchikallu
MACHERLA,NARMALAPADU,V,Naramalapadu
MACHERLA,VOPPICHERLA,V,Oppicherla
MACHERLA,MIRIYALA,V,Miriyala
MACHERLA,LAKSHAMIPURAM,V,Lakshmipuram
MACHERLA,PEDAKODAMAGUNDLA,V,Peda Kodamagundla
MACHERLA,BHATTUVARIPALLI,V,Bhatruvaripalli
MACHERLA,INAPARAJUPALLI,V,Inaparajupalli
MACHERLA,KACHAVARAM,V,Kachavaram
MACHERLA,Gadevaripalle,V,Gadevaripalli
MACHERLA,VEPAKAMPALLI,V,Vepakampalli
MACHERLA,CHINAKODAMAGUNDLA,V,Vepakampalli
MACHERLA,CHINAGARLAPADU,V,China Garlapadu
MACHERLA,CHINTAPALLI,V,Chintapalli
MACHERLA,KAREMPUDI,V,Karempudi
MACHERLA,PETASANNIGANDLA,V,Petasannagandla
